base_name,perc_artificial
img_00588_p05_2019,6.28
img_00588_p03_2019,5.80
img_00596_p01_2019,2.14
img_00587_p02_2019,0.00
img_00587_p03_2019,0.00
img_00669_2019,0.00
img_00588_p06_2019,5.19
img_00668_2019,0.00
img_00664_2019,0.00
img_00588_p01_2019,5.38
img_00596_p04_2019,0.41
img_00655_2019,0.00
img_00670_2019,0.00
img_00596_p03_2019,0.78
img_00673_2019,0.00
img_00671_2019,0.00
img_00676_2019,0.00
img_00596_p02_2019,0.94
img_00675_2019,0.00
img_00678_2019,0.00
img_00682_2019,0.00
img_00677_2019,0.00
img_00681_2019,0.00
img_00684_2019,0.00
img_00680_2019,0.00
img_00683_2019,0.00
img_00672_2019,0.00
img_00685_2019,0.00
img_00667_2019,0.00
img_00688_2019,0.00
img_00690_2019,0.00
img_00691_2019,0.01
img_00588_p04_2019,5.56
img_00689_2019,0.00
img_00693_2019,0.00
img_00695_2019,0.00
img_00666_p01_2019,0.00
img_00701_2019,4.65
img_00702_2019,0.00
img_00699_2019,0.00
img_00686_2019,0.00
img_00696_2019,0.00
img_00596_p06_2019,0.22
img_00486_p01_2019,8.78
img_00694_2019,4.21
img_00666_p02_2019,0.00
img_00687_2019,0.00
img_00674_2019,0.00
img_00486_p04_2019,0.11
img_00700_2019,0.00
img_00596_p05_2019,1.70
img_00486_p12_2019,0.04
img_00486_p03_2019,10.94
img_00486_p05_2019,1.38
img_00486_p15_2019,3.11
img_00703_2019,0.00
img_00486_p02_2019,10.07
img_00486_p08_2019,0.06
img_00486_p14_2019,0.59
img_00486_p10_2019,1.49
img_00486_p09_2019,0.11
img_00706_2019,0.00
img_00708_2019,0.00
img_00705_2019,0.00
img_00707_2019,0.00
img_00704_2019,0.00
img_00648_p04_2019,0.00
img_00486_p11_2019,2.93
img_00648_p01_2019,0.00
img_00486_p06_2019,4.28
img_00597_p04_2019,1.58
img_00597_p01_2019,0.44
img_00486_p07_2019,4.40
img_00710_2019,0.00
img_00597_p03_2019,0.37
img_00597_p06_2019,0.04
img_00711_2019,0.00
img_00486_p13_2019,2.04
